LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
0,0,-0.231016,0.730021,-0.499004,0,0,0,-0.447766,0.767379,-0.319613,0
0,0,-0.234414,0.740756,-0.506343,0,0,0,-0.45435,0.778664,-0.324313,0
0,0,-0.237811,0.751492,-0.513681,0,0,0,-0.460935,0.789949,-0.329014,0
0,0,-0.241208,0.762228,-0.521019,0,0,0,-0.46752,0.801234,-0.333714,0
0,0,-0.244606,0.772963,-0.528358,0,0,0,-0.474105,0.812519,-0.338414,0
0,0,-0.248003,0.783699,-0.535696,0,0,0,-0.48069,0.823804,-0.343114,0
0,0,-0.2514,0.794434,-0.543034,0,0,0,-0.487274,0.835089,-0.347814,0
0,0,-0.254798,0.80517,-0.550373,0,0,0,-0.493859,0.846374,-0.352515,0
0,0,-0.258195,0.815906,-0.557711,0,0,0,-0.500444,0.857659,-0.357215,0
0,0,-0.261592,0.826641,-0.565049,0,0,0,-0.507029,0.868944,-0.361915,0
0,0,-0.264989,0.837377,-0.572387,0,0,0,-0.513614,0.880229,-0.366615,0
0,0,-0.268387,0.848112,-0.579726,0,0,0,-0.520198,0.891514,-0.371315,0
0,0,-0.271784,0.858848,-0.587064,0,0,0,-0.526783,0.902799,-0.376016,0
0,0,-0.275181,0.869584,-0.594402,0,0,0,-0.533368,0.914084,-0.380716,0
0,0,-0.278579,0.880319,-0.601741,0,0,0,-0.539953,0.925369,-0.385416,0
0,0,-0.281976,0.891055,-0.609079,0,0,0,-0.546537,0.936654,-0.390116,0
0,0,-0.285373,0.90179,-0.616417,0,0,0,-0.553122,0.947939,-0.394816,0
0,0,-0.288771,0.912526,-0.623756,0,0,0,-0.559707,0.959224,-0.399517,0
0,0,-0.292168,0.923262,-0.631094,0,0,0,-0.566292,0.970509,-0.404217,0
0,0,-0.295565,0.933997,-0.638432,0,0,0,-0.572877,0.981794,-0.408917,0
0,0,-0.298962,0.944733,-0.64577,0,0,0,-0.579461,0.993079,-0.413617,0
0,0,-0.30236,0.955468,-0.653109,0,0,0,-0.586046,1.004364,-0.418317,0
0,0,-0.305757,0.966204,-0.660447,0,0,0,-0.592631,1.015649,-0.423018,0
0,0,-0.309154,0.97694,-0.667785,0,0,0,-0.599216,1.026934,-0.427718,0
0,0,-0.312552,0.987675,-0.675124,0,0,0,-0.605801,1.038219,-0.432418,0
0,0,-0.315949,0.998411,-0.682462,0,0,0,-0.612385,1.049504,-0.437118,0
0,0,-0.319346,1.009147,-0.6898,0,0,0,-0.61897,1.060789,-0.441818,0
0,0,-0.322744,1.019882,-0.697139,0,0,0,-0.625555,1.072073,-0.446519,0
0,0,-0.326141,1.030618,-0.704477,0,0,0,-0.63214,1.083358,-0.451219,0
0,0,-0.329538,1.041353,-0.711815,0,0,0,-0.638724,1.094643,-0.455919,0
0,0,-0.332935,1.052089,-0.719153,0,0,0,-0.645309,1.105928,-0.460619,0
0,0,-0.336333,1.062825,-0.726492,0,0,0,-0.651894,1.117213,-0.465319,0
0,0,-0.33973,1.07356,-0.73383,0,0,0,-0.658479,1.128498,-0.47002,0
0,0.000176,-0.339727,1.073512,-0.733884,-0.0002368,0,0.0002192,-0.658339,1.128521,-0.470112,-0.0002448
0,0.0011584,-0.339732,1.073284,-0.734204,-0.00156,0,0.0014384,-0.657558,1.128647,-0.47063,-0.0016128
0,0.0032384,-0.339809,1.072911,-0.734926,-0.0043632,0,0.0040192,-0.65589,1.128905,-0.471728,-0.0045136
0,0.0064064,-0.340033,1.072534,-0.736103,-0.008632,0,0.0079456,-0.653316,1.129281,-0.473399,-0.0089344
0,0.0105136,-0.340482,1.072321,-0.737742,-0.0141744,0,0.013032,-0.649918,1.129733,-0.475562,-0.0146768
0,0.0153728,-0.341221,1.072434,-0.739831,-0.0207408,0,0.0190384,-0.645812,1.130218,-0.478114,-0.02148
